session_name,time_first_frame,time_last_frame
20240119_MDG-Toliara_UVC-01_01,2024:01:19 07:24:00.00,2024:01:19 07:41:00.00
20240119_MDG-Toliara_UVC-01_02,2024:01:19 06:46:00.00,2024:01:19 07:04:00.00
20240119_MDG-Toliara_UVC-01_03,2024:01:19 06:13:00.00,2024:01:19 06:30:00.00
20240119_MDG-Toliara_UVC-01_04,2024:01:19 05:40:00.00,2024:01:19 05:58:00.00
20240119_MDG-Toliara_UVC-01_05,2024:01:19 05:11:00.00,2024:01:19 05:28:00.00
